,title,dj_name,dj_id,spins,avg_danceability,avg_energy,avg_loudness,avg_acousticness,avg_instrumentalness,avg_valence,avg_tempo,avg_duration_ms,avg_time_signature,genre_1,genre_2,genre_3
47,"Of the Nation, of the Globe",Zihan Chen,169438,25,0.6902799999999999,0.7489200000000001,-5.65616,0.17329767999999998,0.0608200268,0.61568,120.5384,215659.2,4.0,Pop Rock,Trap,Alternative Rock
48,Out for the Night,Roman Kassaraba,164934,127,0.5571543307086614,0.5889763779527563,-8.10743307086614,0.3314749072440945,0.14534529653543304,0.44353464566929124,122.8902204724409,235782.0,3.8818897637795278,Dream Pop,Indie Pop,Contemporary R&B
49,Out of Pocket,Tuvia Reback,164963,95,0.5069894736842105,0.6010157894736842,-8.833757894736845,0.25494428842105277,0.20583492936842096,0.46086315789473686,125.07450526315793,234085.1157894737,3.957894736842105,Indie Pop,Pop Rock,Singer-Songwriter
50,Passing the Torch,Stella Horton,168885,102,0.5322941176470587,0.7388137254901962,-7.266147058823533,0.15518987029411774,0.13589965578431368,0.6055205882352941,129.90489215686273,225210.95098039217,4.0,Indie Rock,Alternative Rock,Indie Pop
51,Popcorn Radio,Hana,165477,160,0.48761562499999983,0.41818499999999964,-13.03800625000002,0.5730187175000003,0.4245340226875001,0.4214474999999996,117.02373124999997,192553.01875,3.8625,Film Score,Cinematic Classical,Film Soundtrack
52,Punk Punk Goose,Sean the Suspect,164900,169,0.44080000000000025,0.8465207100591715,-7.869585798816558,0.060455383846153836,0.3260317575739641,0.40335325443786985,131.33316568047331,270166.52662721893,3.9171597633136095,Post-Punk,Experimental Rock,Death Metal
53,Radio Free Iran,Arya Hodjat,164718,156,0.5493467948717947,0.6859166666666666,-7.675923076923074,0.1998243971794872,0.14348011897435894,0.5187314102564099,126.25068589743597,240292.1923076923,3.91025641025641,Indie Pop,Indie Rock,Synthpop
54,Reece With Their Spoon,Reece,165938,46,0.5123478260869565,0.6104021739130434,-8.023391304347827,0.20437994782608696,0.16962716347826085,0.48583260869565215,118.11819565217395,209931.95652173914,3.891304347826087,Indie Rock,Indie Pop,Neo-Psychedelia
55,Reference Referee,Josh Tuttelman,164685,175,0.6229828571428573,0.6785257142857147,-7.952879999999991,0.21682230794285723,0.07942943582857144,0.6778628571428571,122.22025142857144,224492.42857142858,3.9085714285714284,Pop Rock,Contemporary R&B,Pop
56,Right-Click,Dominic Mancini,169436,28,0.49024999999999996,0.6917142857142856,-7.938035714285715,0.24591771428571432,0.5169655321428571,0.47063928571428576,124.93767857142858,212268.10714285713,3.857142857142857,Indie Pop,Dream Pop,Vaporwave
57,Rogers 'Round The World,Colleen Rogers,164804,156,0.5534487179487179,0.643326282051282,-8.21037820512821,0.27738205128205123,0.08558535916666667,0.5556788461538458,125.69171153846153,233059.36538461538,3.9551282051282053,Indie Rock,Pop Rock,Post-Punk Revival
58,Sharks Cove,Auva Amirmokri,164946,83,0.6149277108433734,0.6977108433734941,-6.325168674698794,0.15653443855421692,0.08129788024096381,0.6176144578313252,115.64022891566253,251473.22891566265,3.9518072289156625,Indie Rock,Ambient,Hardvapour
59,Sitting Club,Joy Lee,165546,184,0.5594782608695654,0.478475543478261,-12.519793478260869,0.3975697391304345,0.056024080271739114,0.4179896739130434,108.99395108695657,209185.4347826087,3.630434782608696,Alternative R&B,Indie Pop,Synthpop
